Player,Team,Salary
A Nehra,Chennai Super Kings,"$333,000"
BB McCullum,Chennai Super Kings,"$541,000"
DJ Bravo,Chennai Super Kings,"$666,667"
DR Smith,Chennai Super Kings,"$750,000"
F du Plessis,Chennai Super Kings,"$791,000"
IC Pandey,Chennai Super Kings,"$250,000"
KJ Abbott,Chennai Super Kings,"$50,000"
M Manhas,Chennai Super Kings,"$50,000"
MEK Hussey,Chennai Super Kings,"$250,000"
MJ Henry,Chennai Super Kings,"$50,000"
MM Sharma,Chennai Super Kings,"$333,000"
MS Dhoni,Chennai Super Kings,"$2,083,333"
P Negi,Chennai Super Kings,"$16,000"
R Ashwin,Chennai Super Kings,"$1,250,000"
R Sharma,Chennai Super Kings,"$50,000"
RA Jadeja,Chennai Super Kings,"$916,667"
RG More,Chennai Super Kings,"$16,000"
S Badree,Chennai Super Kings,"$50,000"
SK Raina,Chennai Super Kings,"$1,583,333"
A Mishra,Delhi Daredevils,"$583,333"
AD Mathews,Delhi Daredevils,"$1,250,000"
CM Gautam,Delhi Daredevils,"$33,333"
DJ Muthuswami,Delhi Daredevils,"$125,000"
GS Sandhu,Delhi Daredevils,"$283,333"
J Yadav,Delhi Daredevils,"$16,000"
JA Morkel,Delhi Daredevils,"$50,000"
JD Unadkat,Delhi Daredevils,"$183,333"
JP Duminy,Delhi Daredevils,"$366,000"
KM Jadhav,Delhi Daredevils,"$333,000"
MA Agarwal,Delhi Daredevils,"$266,000"
MK Tiwary,Delhi Daredevils,"$466,000"
Mohammed Shami,Delhi Daredevils,"$708,000"
NM Coulter-Nile,Delhi Daredevils,"$708,000"
Q de Kock,Delhi Daredevils,"$583,000"
S Nadeem,Delhi Daredevils,"$141,000"
SS Iyer,Delhi Daredevils,"$433,333"
SS Tiwary,Delhi Daredevils,"$116,000"
Yuvraj Singh,Delhi Daredevils,"$2,666,667"
Z Khan,Delhi Daredevils,"$666,667"
Anureet Singh,Kings XI Punjab,"$33,000"
AR Patel,Kings XI Punjab,"$125,000"
BE Hendricks,Kings XI Punjab,"$300,000"
DA Miller,Kings XI Punjab,"$833,333"
GJ Bailey,Kings XI Punjab,"$541,000"
GJ Maxwell,Kings XI Punjab,"$1,000,000"
Gurkeerat Singh,Kings XI Punjab,"$216,000"
Karanveer Singh,Kings XI Punjab,"$16,000"
M Vijay,Kings XI Punjab,"$500,000"
M Vohra,Kings XI Punjab,"$58,333"
MG Johnson,Kings XI Punjab,"$1,083,000"
NLTC Perera,Kings XI Punjab,"$266,000"
NS Naik,Kings XI Punjab,"$50,000"
P Awana,Kings XI Punjab,"$108,000"
R Dhawan,Kings XI Punjab,"$500,000"
Sandeep Sharma,Kings XI Punjab,"$141,000"
SE Marsh,Kings XI Punjab,"$366,000"
Shivam Sharma,Kings XI Punjab,"$16,000"
SN Thakur,Kings XI Punjab,"$33,000"
V Sehwag,Kings XI Punjab,"$533,000"
WP Saha,Kings XI Punjab,"$366,000"
AD Russell,Kolkata Knight Riders,"$100,000"
Azhar Mahmood,Kolkata Knight Riders,"$200,000"
CA Lynn,Kolkata Knight Riders,"$216,000"
G Gambhir,Kolkata Knight Riders,"$1,666,667"
