Player,Team,Salary
A Mishra,Delhi Daredevils,"$15,000"
AD Mathews,Delhi Daredevils,"$300,000"
AP Tare,Delhi Daredevils,"$37,000"
AR Bawne,Delhi Daredevils,"$15,000"
CH Morris,Delhi Daredevils,"$1,050,000"
Chama Milind,Delhi Daredevils,"$15,000"
CJ Anderson,Delhi Daredevils,"$150,000"
CR Brathwaite,Delhi Daredevils,"$630,000"
J Yadav,Delhi Daredevils,"$16,000"
JA Morkel,Delhi Daredevils,"$50,000"
JP Duminy,Delhi Daredevils,"$366,000"
K Rabada,Delhi Daredevils,"$746,000"
KK Nair,Delhi Daredevils,"$600,000"
MA Agarwal,Delhi Daredevils,"$266,000"
MN Samuels,Delhi Daredevils,"$400,000"
Mohammed Shami,Delhi Daredevils,"$708,000"
PJ Cummins,Delhi Daredevils,"$672,000"
Pratyush Singh,Delhi Daredevils,"$15,000"
Q de Kock,Delhi Daredevils,"$583,000"
RR Pant,Delhi Daredevils,"$285,000"
S Nadeem,Delhi Daredevils,"$141,000"
SS Iyer,Delhi Daredevils,"$433,333"
SS Tiwary,Delhi Daredevils,"$45,000"
SV Samson,Delhi Daredevils,"$630,000"
SW Billings,Delhi Daredevils,"$45,000"
Syed Khaleel Ahmed,Delhi Daredevils,"$15,000"
Z Khan,Delhi Daredevils,"$666,667"
AD Nath,Gujarat Lions,"$15,000"
AJ Finch,Gujarat Lions,"$150,000"
AJ Tye,Gujarat Lions,"$75,000"
BB McCullum,Gujarat Lions,"$541,000"
Chirag Suri,Gujarat Lions,"$15,000"
DJ Bravo,Gujarat Lions,"$666,667"
DR Smith,Gujarat Lions,"$345,000"
DS Kulkarni,Gujarat Lions,"$300,000"
IK Pathan,Gujarat Lions,"$150,000"
Ishan Kishan,Gujarat Lions,"$52,500"
Jaydev Shah,Gujarat Lions,"$30,000"
JP Faulkner,Gujarat Lions,"$850,000"
KD Karthik,Gujarat Lions,"$345,000"
MM Patel,Gujarat Lions,"$45,000"
MS Gony,Gujarat Lions,"$500,000"
NB Singh,Gujarat Lions,"$75,000"
P Kumar,Gujarat Lions,"$525,000"
PJ Sangwan,Gujarat Lions,"$30,000"
Pratham Singh,Gujarat Lions,"$15,000"
RA Jadeja,Gujarat Lions,"$916,667"
S Kaushik,Gujarat Lions,"$15,000"
SB Jakati,Gujarat Lions,"$30,000"
Shelley Shaurya,Gujarat Lions,"$15,000"
Shubam Agrawal,Gujarat Lions,"$15,000"
SK Raina,Gujarat Lions,"$1,583,333"
Tejas Baroka,Gujarat Lions,"$15,000"
Anureet Singh,Kings XI Punjab,"$33,000"
AR Patel,Kings XI Punjab,"$125,000"
Armaan Jaffer,Kings XI Punjab,"$15,000"
DA Miller,Kings XI Punjab,"$833,333"
DJG Sammy,Kings XI Punjab,"$45,000"
EJG Morgan,Kings XI Punjab,"$300,000"
GJ Maxwell,Kings XI Punjab,"$1,000,000"
Gurkeerat Singh,Kings XI Punjab,"$216,000"
KC Cariappa,Kings XI Punjab,"$120,000"
M Vijay,Kings XI Punjab,"$500,000"
M Vohra,Kings XI Punjab,"$58,333"
MJ Guptill,Kings XI Punjab,"$75,000"
MJ Henry,Kings XI Punjab,"$75,000"
MM Sharma,Kings XI Punjab,"$975,000"
MP Stoinis,Kings XI Punjab,"$82,500"
NS Naik,Kings XI Punjab,"$50,000"
P Sahu,Kings XI Punjab,"$15,000"
R Tewatia,Kings XI Punjab,"$37,000"
Rinku Singh,Kings XI Punjab,"$15,000"
Sandeep Sharma,Kings XI Punjab,"$141,000"
SE Marsh,Kings XI Punjab,"$366,000"
SN Thakur,Kings XI Punjab,"$33,000"
Swapnil Singh,Kings XI Punjab,"$15,000"
T Natarajan,Kings XI Punjab,"$450,000"
VR Aaron,Kings XI Punjab,"$418,000"
WP Saha,Kings XI Punjab,"$366,000"
AD Russell,Kolkata Knight Riders,"$100,000"
AS Rajpoot,Kolkata Knight Riders,"$225,000"
