Player,Team,Salary
A Mishra,Delhi Daredevils,"$15,000"
Akhil Arvind Herwadk,Delhi Daredevils,"$15,000"
CH Morris,Delhi Daredevils,"$1,050,000"
Chama Milind,Delhi Daredevils,"$15,000"
CR Brathwaite,Delhi Daredevils,"$630,000"
J Yadav,Delhi Daredevils,"$16,000"
JA Morkel,Delhi Daredevils,"$50,000"
JP Duminy,Delhi Daredevils,"$366,000"
JS Paris,Delhi Daredevils,"$45,000"
KK Nair,Delhi Daredevils,"$600,000"
MA Agarwal,Delhi Daredevils,"$266,000"
MK Lomror,Delhi Daredevils,"$15,000"
Mohammed Shami,Delhi Daredevils,"$708,000"
NM Coulter-Nile,Delhi Daredevils,"$708,000"
P Negi,Delhi Daredevils,"$1,275,000"
P Suyal,Delhi Daredevils,"$15,000"
Pratyush Singh,Delhi Daredevils,"$15,000"
Q de Kock,Delhi Daredevils,"$583,000"
RR Pant,Delhi Daredevils,"$285,000"
S Nadeem,Delhi Daredevils,"$141,000"
SS Iyer,Delhi Daredevils,"$433,333"
SS Tiwary,Delhi Daredevils,"$116,000"
SV Samson,Delhi Daredevils,"$630,000"
SW Billings,Delhi Daredevils,"$45,000"
Syed Khaleel Ahmed,Delhi Daredevils,"$15,000"
Z Khan,Delhi Daredevils,"$666,667"
AD Nath,Gujarat Lions,"$15,000"
AJ Finch,Gujarat Lions,"$150,000"
AJ Tye,Gujarat Lions,"$75,000"
BB McCullum,Gujarat Lions,"$541,000"
DJ Bravo,Gujarat Lions,"$666,667"
DR Smith,Gujarat Lions,"$345,000"
DS Kulkarni,Gujarat Lions,"$300,000"
DW Steyn,Gujarat Lions,"$345,000"
Eklavya Dwivedi,Gujarat Lions,"$150,000"
Ishan Kishan,Gujarat Lions,"$52,500"
Jaydev Shah,Gujarat Lions,"$30,000"
JP Faulkner,Gujarat Lions,"$850,000"
KD Karthik,Gujarat Lions,"$345,000"
P Dogra,Gujarat Lions,"$15,000"
P Kumar,Gujarat Lions,"$525,000"
PJ Sangwan,Gujarat Lions,"$30,000"
PV Tambe,Gujarat Lions,"$30,000"
RA Jadeja,Gujarat Lions,"$916,667"
S Kaushik,Gujarat Lions,"$15,000"
S Ladda,Gujarat Lions,"$15,000"
SB Jakati,Gujarat Lions,"$30,000"
SK Raina,Gujarat Lions,"$1,583,333"
Umang Sharma,Gujarat Lions,"$15,000"
Anureet Singh,Kings XI Punjab,"$33,000"
AR Patel,Kings XI Punjab,"$125,000"
Armaan Jaffer,Kings XI Punjab,"$15,000"
DA Miller,Kings XI Punjab,"$833,333"
F Behardien,Kings XI Punjab,"$45,000"
GJ Maxwell,Kings XI Punjab,"$1,000,000"
Gurkeerat Singh,Kings XI Punjab,"$216,000"
